"sampleid","investigation","sample_type","disease_type","platform","experimental_strategy","data_submitting_center_label"
"s17525","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17513","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17495","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17537","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17493","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","LS 454","WGS","Baylor College of Medicine"
"s17511","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17520","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17486","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17494","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17540","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17530","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17543","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17531","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17523","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17522","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17526","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17505","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17502","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17496","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17501","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17497","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17527","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17492","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17546","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17524","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17491","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17487","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17517","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17506","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17536","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17518","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17519","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17529","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17507","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17532","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17508","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17481","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17514","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17478","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s17485","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17479","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17544","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17503","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17542","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17538","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17534","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17515","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17539","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17509","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17510","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17521","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17488","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17504","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17719","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17718","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17708","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17717","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17716","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17735","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17712","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17707","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17714","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17721","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17727","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17709","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17706","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17731","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17713","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17726","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17725","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17730","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17728","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17710","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17720","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17715","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s17724","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17722","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17734","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17732","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17711","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17723","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17733","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17729","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17116","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17126","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17132","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17123","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17137","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17125","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17127","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17133","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17119","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17138","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17141","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17144","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s17122","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","LS 454","WGS","Baylor College of Medicine"
"s17129","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17140","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17145","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17139","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17142","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17115","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17131","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17135","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17134","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17120","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17121","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17130","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17113","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17112","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s17118","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17146","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17114","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17124","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s17128","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17136","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17143","TCGA-OV","Solid Tissue Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17117","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17862","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17871","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17865","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17880","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17886","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17869","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17878","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17885","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","ABI SOLiD","WGS","Baylor College of Medicine"
"s17876","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17874","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17884","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17867","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17861","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s17883","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17888","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17864","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17887","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17873","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17882","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17879","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17872","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17870","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17866","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17863","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17877","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17868","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Washington University School of Medicine"
"s17881","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17875","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17283","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17312","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17289","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina GA","WGS","Broad Institute of MIT and Harvard"
"s17295","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17286","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17318","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17322","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17290","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17314","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17305","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17313","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17299","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17301","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17293","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17282","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17288","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
